geography,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes,population,total_crashes_per_100k,fatal_crashes_per_100k,injury_or_fatal_crashes_per_100k
Five largest cities,2022,Pedestrian/vehicle,610,24,562,653604,93.32868219900735,3.6719481520920927,85.98478589482316
Five largest cities,2022,Vehicle/vehicle,26421,48,6600,653604,4042.3559219343824,7.343896304184185,1009.7857418253255
Five largest cities,2023,Cyclist/vehicle,122,0,106,653604,18.66573643980147,0,16.21777100507341
Five largest cities,2023,Pedestrian/vehicle,569,22,503,653604,87.05577077251668,3.365952472751085,76.95791335426344
Five largest cities,2023,Vehicle/vehicle,25777,35,6325,653604,3943.8253131865777,5.3549243884676345,967.7113359159368
Five largest cities,2024,Cyclist/vehicle,163,4,124,653604,24.93864786629213,0.6119913586820155,18.971732119142477
Five largest cities,2024,Pedestrian/vehicle,663,20,590,653604,101.43756770154405,3.0599567934100773,90.26872540559728
Five largest cities,2024,Vehicle/vehicle,25989,40,6123,653604,3976.2608551967246,6.119913586820155,936.8057723024951
Five largest cities,2025,Cyclist/vehicle,163,1,131,653604,24.93864786629213,0.15299783967050387,20.042716996836003
Five largest cities,2025,Pedestrian/vehicle,607,14,547,653604,92.86968867999583,2.1419697553870543,83.6898182997656
Five largest cities,2025,Vehicle/vehicle,26442,28,5843,653604,4045.568876567463,4.2839395107741085,893.9663771947539
Hartford,2015,Cyclist/vehicle,48,1,41,121054,39.65172567614453,0.8260776182530112,33.86918234837346
Hartford,2015,Pedestrian/vehicle,138,3,126,121054,113.99871131891551,2.478232854759033,104.08577989987938
Hartford,2015,Vehicle/vehicle,6580,5,1592,121054,5435.590728104812,4.130388091265055,1315.1155682587935
Hartford,2016,Cyclist/vehicle,57,0,50,121054,47.08642424042163,0,41.30388091265055
Hartford,2016,Pedestrian/vehicle,177,2,166,121054,146.21573843078298,1.6521552365060224,137.12888462999985
Hartford,2016,Vehicle/vehicle,7402,8,1863,121054,6114.626530308788,6.6086209460240894,1538.9826028053596
Hartford,2017,Cyclist/vehicle,42,0,32,121054,34.695259966626466,0,26.434483784096358
Hartford,2017,Pedestrian/vehicle,166,1,160,121054,137.12888462999985,0.8260776182530112,132.17241892048176
Hartford,2017,Vehicle/vehicle,6796,9,1658,121054,5614.0234936474635,7.4346985642771,1369.6366910634922
Hartford,2018,Cyclist/vehicle,40,0,33,121054,33.04310473012044,0,27.260561402349364
Hartford,2018,Pedestrian/vehicle,153,9,143,121054,126.3898755927107,7.4346985642771,118.12909941018059
Hartford,2018,Vehicle/vehicle,6795,12,1693,121054,5613.19741602921,9.912931419036132,1398.5494077023477
Hartford,2019,Cyclist/vehicle,50,0,44,121054,41.30388091265055,0,36.34741520313249
Hartford,2019,Pedestrian/vehicle,153,3,142,121054,126.3898755927107,2.478232854759033,117.30302179192758
Hartford,2019,Vehicle/vehicle,6924,12,1642,121054,5719.761428783849,9.912931419036132,1356.419449171444
Hartford,2020,Cyclist/vehicle,25,1,19,121054,20.651940456325274,0.8260776182530112,15.69547474680721
Hartford,2020,Pedestrian/vehicle,126,3,117,121054,104.08577989987938,2.478232854759033,96.65108133560229
Hartford,2020,Vehicle/vehicle,5374,13,1510,121054,4439.341120491681,10.739009037289144,1247.3772035620468
Hartford,2021,Cyclist/vehicle,7,0,7,121054,5.782543327771077,0,5.782543327771077
Hartford,2021,Pedestrian/vehicle,92,5,88,121054,75.99914087927702,4.130388091265055,72.69483040626498
Hartford,2021,Vehicle/vehicle,5343,12,1445,121054,4413.732714325838,9.912931419036132,1193.682158375601
Hartford,2022,Cyclist/vehicle,15,0,12,121054,12.391164273795166,0,9.912931419036132
Hartford,2022,Pedestrian/vehicle,100,7,94,121054,82.6077618253011,5.782543327771077,77.65129611578304
Hartford,2022,Vehicle/vehicle,5227,8,1391,121054,4317.907710608489,6.6086209460240894,1149.0739669899383
Hartford,2023,Cyclist/vehicle,21,0,19,121054,17.347629983313233,0,15.69547474680721
Hartford,2023,Pedestrian/vehicle,125,6,111,121054,103.25970228162637,4.956465709518066,91.69461562608423
Hartford,2023,Vehicle/vehicle,5368,5,1439,121054,4434.384654782163,4.130388091265055,1188.7256926660828
Hartford,2024,Cyclist/vehicle,33,2,26,121054,27.260561402349364,1.6521552365060224,21.478018074578287
Hartford,2024,Pedestrian/vehicle,158,5,137,121054,130.52026368397574,4.130388091265055,113.1726337006625
Hartford,2024,Vehicle/vehicle,5915,9,1398,121054,4886.24911196656,7.4346985642771,1154.8565103177093
Hartford,2025,Cyclist/vehicle,34,1,28,121054,28.086639020602373,0.8260776182530112,23.13017331108431
Hartford,2025,Pedestrian/vehicle,155,4,136,121054,128.0420308292167,3.3043104730120447,112.34655608240949
Hartford,2025,Vehicle/vehicle,6233,10,1428,121054,5148.941794571018,8.26077618253011,1179.6388388653
New Haven,2015,Cyclist/vehicle,89,0,69,134023,66.4065123150504,0,51.483700558859304
New Haven,2015,Pedestrian/vehicle,135,0,116,134023,100.72897935428993,0,86.55230818590839
New Haven,2015,Vehicle/vehicle,7956,7,1792,134023,5936.29451661282,5.222984114666885,1337.0839333547226
New Haven,2016,Cyclist/vehicle,81,0,62,134023,60.437387612573964,0,46.26071644419241
New Haven,2016,Pedestrian/vehicle,176,3,160,134023,131.3207434544817,2.238421763428665,119.38249404952882
New Haven,2016,Vehicle/vehicle,7532,12,1730,134023,5619.930907381568,8.95368705371466,1290.8232169105304
New Haven,2017,Cyclist/vehicle,99,1,79,134023,73.86791819314595,0.7461405878095551,58.94510643695485
New Haven,2017,Pedestrian/vehicle,177,2,152,134023,132.06688404229126,1.4922811756191101,113.41336934705237
New Haven,2017,Vehicle/vehicle,7558,8,1754,134023,5639.330562664617,5.9691247024764404,1308.7305910179596
New Haven,2018,Cyclist/vehicle,89,0,69,134023,66.4065123150504,0,51.483700558859304
New Haven,2018,Pedestrian/vehicle,133,3,122,134023,99.23669817867084,2.238421763428665,91.02915171276572
New Haven,2018,Vehicle/vehicle,7153,16,1820,134023,5337.143624601747,11.938249404952881,1357.9758698133903
New Haven,2019,Cyclist/vehicle,85,0,72,134023,63.421949963812175,0,53.722122322287966
New Haven,2019,Pedestrian/vehicle,203,8,182,134023,151.46653932533968,5.9691247024764404,135.797586981339
New Haven,2019,Vehicle/vehicle,7270,9,1858,134023,5424.442073375466,6.715265290285996,1386.3292121501534
New Haven,2020,Cyclist/vehicle,61,2,51,134023,45.51457585638286,1.4922811756191101,38.05316997828731
New Haven,2020,Pedestrian/vehicle,133,9,122,134023,99.23669817867084,6.715265290285996,91.02915171276572
New Haven,2020,Vehicle/vehicle,5546,6,1471,134023,4138.095699991793,4.47684352685733,1097.5728046678555
New Haven,2021,Cyclist/vehicle,42,1,31,134023,31.337904688001313,0.7461405878095551,23.130358222096206
New Haven,2021,Pedestrian/vehicle,139,10,128,134023,103.71354170552816,7.461405878095551,95.50599523962305
New Haven,2021,Vehicle/vehicle,6600,12,1621,134023,4924.527879543063,8.95368705371466,1209.4938928392887
New Haven,2022,Cyclist/vehicle,43,1,38,134023,32.08404527581087,0.7461405878095551,28.35334233676309
New Haven,2022,Pedestrian/vehicle,167,4,151,134023,124.6054781641957,2.9845623512382202,112.66722875924282
New Haven,2022,Vehicle/vehicle,6737,13,1573,134023,5026.749140072972,9.699827641524216,1173.6791446244301
New Haven,2023,Cyclist/vehicle,44,0,37,134023,32.83018586362042,0,27.607201748953536
New Haven,2023,Pedestrian/vehicle,158,7,142,134023,117.8902128739097,5.222984114666885,105.95196346895682
New Haven,2023,Vehicle/vehicle,6617,8,1477,134023,4937.212269535826,5.9691247024764404,1102.049648194713
New Haven,2024,Cyclist/vehicle,64,1,43,134023,47.752997619811524,0.7461405878095551,32.08404527581087
New Haven,2024,Pedestrian/vehicle,149,4,135,134023,111.17494758362372,2.9845623512382202,100.72897935428993
New Haven,2024,Vehicle/vehicle,6406,9,1413,134023,4779.77660550801,6.715265290285996,1054.2966505749014
New Haven,2025,Cyclist/vehicle,58,0,51,134023,43.276154092954194,0,38.05316997828731
New Haven,2025,Pedestrian/vehicle,135,6,117,134023,100.72897935428993,4.47684352685733,87.29844877371795
New Haven,2025,Vehicle/vehicle,6604,5,1261,134023,4927.512441894301,3.7307029390477755,940.883281227849
Stamford,2015,Cyclist/vehicle,22,0,18,135470,16.23975787997343,0,13.287074629069167
Stamford,2015,Pedestrian/vehicle,102,2,96,135470,75.29342289805861,1.4763416254521298,70.86439802170223
Stamford,2015,Vehicle/vehicle,5248,1,870,135470,3873.9204251863885,0.7381708127260649,642.2086070716764
Stamford,2016,Cyclist/vehicle,17,1,16,135470,12.548903816343103,0.7381708127260649,11.810733003617038
Stamford,2016,Pedestrian/vehicle,125,3,121,135470,92.2713515907581,2.2145124381781947,89.31866833985384
Stamford,2016,Vehicle/vehicle,5306,1,869,135470,3916.7343323245,0.7381708127260649,641.4704362589503
Stamford,2017,Cyclist/vehicle,21,0,19,135470,15.501587067247362,0,14.025245441795231
Stamford,2017,Pedestrian/vehicle,84,2,78,135470,62.00634826898945,1.4763416254521298,57.577323392633055
Stamford,2017,Vehicle/vehicle,4614,6,705,135470,3405.9201299180627,4.429024876356389,520.4104229718757
Stamford,2018,Cyclist/vehicle,13,0,10,135470,9.596220565438843,0,7.381708127260649
Stamford,2018,Pedestrian/vehicle,95,2,92,135470,70.12622720897616,1.4763416254521298,67.91171477079797
Stamford,2018,Vehicle/vehicle,5061,4,809,135470,3735.882483206614,2.9526832509042595,597.1801874953865
Stamford,2019,Cyclist/vehicle,10,0,7,135470,7.381708127260649,0,5.167195689082454
Stamford,2019,Pedestrian/vehicle,105,1,98,135470,77.5079353362368,0.7381708127260649,72.34073964715435
Stamford,2019,Vehicle/vehicle,4580,1,845,135470,3380.8223222853767,0.7381708127260649,623.7543367535247
Stamford,2020,Cyclist/vehicle,22,1,16,135470,16.23975787997343,0.7381708127260649,11.810733003617038
Stamford,2020,Pedestrian/vehicle,75,1,71,135470,55.36281095445486,0.7381708127260649,52.4101277035506
Stamford,2020,Vehicle/vehicle,3331,1,589,135470,2458.846977190522,0.7381708127260649,434.7826086956522
Stamford,2021,Cyclist/vehicle,22,0,20,135470,16.23975787997343,0,14.763416254521298
Stamford,2021,Pedestrian/vehicle,97,0,92,135470,71.60256883442828,0,67.91171477079797
Stamford,2021,Vehicle/vehicle,4008,3,731,135470,2958.588617406068,2.2145124381781947,539.6028641027534
Stamford,2022,Cyclist/vehicle,15,0,14,135470,11.072562190890972,0,10.334391378164907
Stamford,2022,Pedestrian/vehicle,106,4,101,135470,78.24610614896288,2.9526832509042595,74.55525208533254
Stamford,2022,Vehicle/vehicle,4074,5,731,135470,3007.307891045988,3.6908540636303244,539.6028641027534
Stamford,2023,Cyclist/vehicle,22,0,19,135470,16.23975787997343,0,14.025245441795231
Stamford,2023,Pedestrian/vehicle,97,4,83,135470,71.60256883442828,2.9526832509042595,61.26817745626337
Stamford,2023,Vehicle/vehicle,3833,5,723,135470,2829.4087251790065,3.6908540636303244,533.6974976009449
Stamford,2024,Cyclist/vehicle,15,0,14,135470,11.072562190890972,0,10.334391378164907
Stamford,2024,Pedestrian/vehicle,96,1,87,135470,70.86439802170223,0.7381708127260649,64.22086070716763
Stamford,2024,Vehicle/vehicle,3854,5,714,135470,2844.910312246254,3.6908540636303244,527.0539602864103
