town,year,group,deaths
Guilford,2024,Driver/Passenger,1
Guilford,2025,Driver/Passenger,1
Haddam,2015,Driver/Passenger,1
Haddam,2016,Pedestrian/Cyclist/Other,1
Haddam,2018,Driver/Passenger,2
Haddam,2019,Driver/Passenger,3
Haddam,2020,Driver/Passenger,3
Haddam,2021,Pedestrian/Cyclist/Other,1
Haddam,2022,Driver/Passenger,3
Haddam,2023,Driver/Passenger,1
Haddam,2024,Driver/Passenger,1
Haddam,2025,Driver/Passenger,1
Hamden,2015,Driver/Passenger,1
Hamden,2016,Driver/Passenger,1
Hamden,2016,Pedestrian/Cyclist/Other,1
Hamden,2017,Driver/Passenger,4
Hamden,2018,Driver/Passenger,4
Hamden,2018,Pedestrian/Cyclist/Other,3
Hamden,2019,Driver/Passenger,2
Hamden,2019,Pedestrian/Cyclist/Other,1
Hamden,2020,Driver/Passenger,2
Hamden,2020,Pedestrian/Cyclist/Other,3
Hamden,2021,Driver/Passenger,4
Hamden,2021,Pedestrian/Cyclist/Other,1
Hamden,2022,Driver/Passenger,3
Hamden,2022,Pedestrian/Cyclist/Other,2
Hamden,2023,Driver/Passenger,4
Hamden,2023,Pedestrian/Cyclist/Other,1
Hamden,2024,Pedestrian/Cyclist/Other,2
Hamden,2025,Driver/Passenger,2
Hamden,2025,Pedestrian/Cyclist/Other,1
Hampton,2016,Driver/Passenger,1
Hampton,2017,Driver/Passenger,1
Hampton,2022,Driver/Passenger,4
Hampton,2023,Driver/Passenger,1
Hampton,2025,Pedestrian/Cyclist/Other,1
Hartford,2015,Driver/Passenger,6
Hartford,2015,Pedestrian/Cyclist/Other,4
Hartford,2016,Driver/Passenger,8
Hartford,2016,Pedestrian/Cyclist/Other,2
Hartford,2017,Driver/Passenger,8
Hartford,2017,Pedestrian/Cyclist/Other,1
Hartford,2018,Driver/Passenger,13
Hartford,2018,Pedestrian/Cyclist/Other,10
Hartford,2019,Driver/Passenger,12
Hartford,2019,Pedestrian/Cyclist/Other,3
Hartford,2020,Driver/Passenger,13
Hartford,2020,Pedestrian/Cyclist/Other,4
Hartford,2021,Driver/Passenger,13
Hartford,2021,Pedestrian/Cyclist/Other,5
Hartford,2022,Driver/Passenger,11
Hartford,2022,Pedestrian/Cyclist/Other,8
Hartford,2023,Driver/Passenger,5
Hartford,2023,Pedestrian/Cyclist/Other,6
Hartford,2024,Driver/Passenger,11
Hartford,2024,Pedestrian/Cyclist/Other,7
Hartford,2025,Driver/Passenger,11
Hartford,2025,Pedestrian/Cyclist/Other,5
Hartland,2016,Driver/Passenger,1
Hartland,2023,Driver/Passenger,2
Harwinton,2015,Driver/Passenger,2
Harwinton,2016,Driver/Passenger,1
Harwinton,2017,Driver/Passenger,2
Harwinton,2018,Driver/Passenger,1
Harwinton,2019,Pedestrian/Cyclist/Other,1
Harwinton,2021,Driver/Passenger,2
Harwinton,2021,Pedestrian/Cyclist/Other,1
Harwinton,2023,Driver/Passenger,1
Harwinton,2024,Driver/Passenger,1
Harwinton,2025,Driver/Passenger,1
Hebron,2015,Driver/Passenger,2
Hebron,2017,Driver/Passenger,2
Hebron,2020,Driver/Passenger,1
Hebron,2023,Driver/Passenger,2
Hebron,2024,Driver/Passenger,2
Hebron,2025,Driver/Passenger,1
Kent,2015,Driver/Passenger,1
Kent,2018,Driver/Passenger,1
Kent,2022,Driver/Passenger,1
Killingly,2015,Driver/Passenger,2
Killingly,2016,Driver/Passenger,3
Killingly,2016,Pedestrian/Cyclist/Other,1
Killingly,2017,Driver/Passenger,3
Killingly,2018,Driver/Passenger,3
Killingly,2020,Driver/Passenger,1
Killingly,2021,Driver/Passenger,3
Killingly,2022,Driver/Passenger,5
Killingly,2022,Pedestrian/Cyclist/Other,1
Killingly,2023,Pedestrian/Cyclist/Other,1
Killingly,2024,Pedestrian/Cyclist/Other,1
Killingworth,2015,Driver/Passenger,1
Killingworth,2022,Driver/Passenger,1
Lebanon,2015,Driver/Passenger,1
Lebanon,2016,Driver/Passenger,1
Lebanon,2017,Driver/Passenger,2
Lebanon,2018,Driver/Passenger,2
Lebanon,2019,Driver/Passenger,1
Lebanon,2020,Driver/Passenger,2
Lebanon,2021,Driver/Passenger,2
Lebanon,2023,Driver/Passenger,1
Ledyard,2015,Driver/Passenger,2
Ledyard,2016,Driver/Passenger,3
Ledyard,2017,Driver/Passenger,2
Ledyard,2019,Driver/Passenger,1
Ledyard,2019,Pedestrian/Cyclist/Other,1
