town,year,group,total_crashes,fatal_crashes,injury_or_fatal_crashes
Burlington,2015,Driver/Passenger,116,1,28
Burlington,2015,Pedestrian/Cyclist/Other,1,0,1
Burlington,2016,Driver/Passenger,124,0,30
Burlington,2016,Pedestrian/Cyclist/Other,2,0,1
Burlington,2017,Driver/Passenger,113,0,33
Burlington,2017,Pedestrian/Cyclist/Other,1,0,1
Burlington,2018,Driver/Passenger,108,1,34
Burlington,2019,Driver/Passenger,108,1,32
Burlington,2020,Driver/Passenger,76,1,25
Burlington,2020,Pedestrian/Cyclist/Other,1,0,1
Burlington,2021,Driver/Passenger,108,0,36
Burlington,2021,Pedestrian/Cyclist/Other,1,0,1
Burlington,2022,Driver/Passenger,108,1,32
Burlington,2023,Driver/Passenger,115,2,46
Burlington,2024,Driver/Passenger,121,2,42
Burlington,2025,Driver/Passenger,117,0,26
Canaan,2015,Driver/Passenger,28,1,10
Canaan,2016,Driver/Passenger,31,1,7
Canaan,2017,Driver/Passenger,29,0,9
Canaan,2017,Pedestrian/Cyclist/Other,1,0,1
Canaan,2018,Driver/Passenger,33,1,7
Canaan,2019,Driver/Passenger,36,0,8
Canaan,2020,Driver/Passenger,27,0,7
Canaan,2021,Driver/Passenger,24,0,8
Canaan,2022,Driver/Passenger,35,0,12
Canaan,2023,Driver/Passenger,37,2,9
Canaan,2024,Driver/Passenger,37,0,12
Canaan,2025,Driver/Passenger,33,0,9
Canaan,2025,Pedestrian/Cyclist/Other,1,0,1
Canterbury,2015,Driver/Passenger,50,0,14
Canterbury,2015,Pedestrian/Cyclist/Other,1,1,1
Canterbury,2016,Driver/Passenger,60,0,21
Canterbury,2016,Pedestrian/Cyclist/Other,1,0,0
Canterbury,2017,Driver/Passenger,54,0,16
Canterbury,2018,Driver/Passenger,68,1,22
Canterbury,2019,Driver/Passenger,73,3,16
Canterbury,2020,Driver/Passenger,37,1,12
Canterbury,2021,Driver/Passenger,47,1,14
Canterbury,2022,Driver/Passenger,49,1,19
Canterbury,2022,Pedestrian/Cyclist/Other,1,0,1
Canterbury,2023,Driver/Passenger,42,1,14
Canterbury,2024,Driver/Passenger,65,1,23
Canterbury,2025,Driver/Passenger,71,0,20
Canterbury,2025,Pedestrian/Cyclist/Other,1,0,1
Canton,2015,Driver/Passenger,244,0,59
Canton,2015,Pedestrian/Cyclist/Other,5,0,5
Canton,2016,Driver/Passenger,287,0,64
Canton,2016,Pedestrian/Cyclist/Other,2,0,2
Canton,2017,Driver/Passenger,275,4,71
Canton,2017,Pedestrian/Cyclist/Other,2,0,2
Canton,2018,Driver/Passenger,265,0,55
Canton,2018,Pedestrian/Cyclist/Other,4,1,4
Canton,2019,Driver/Passenger,216,2,38
Canton,2020,Driver/Passenger,183,0,46
Canton,2020,Pedestrian/Cyclist/Other,1,0,1
Canton,2021,Driver/Passenger,201,1,45
Canton,2021,Pedestrian/Cyclist/Other,2,0,2
Canton,2022,Driver/Passenger,221,0,45
Canton,2023,Driver/Passenger,216,0,48
Canton,2023,Pedestrian/Cyclist/Other,3,0,3
Canton,2024,Driver/Passenger,196,0,37
Canton,2024,Pedestrian/Cyclist/Other,2,0,1
Canton,2025,Driver/Passenger,234,0,38
