town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
East Granby,2013,Vehicle/vehicle,109,0,32
East Granby,2014,Cyclist/vehicle,1,0,1
East Granby,2014,Vehicle/vehicle,142,1,36
East Haddam,2010,Cyclist/vehicle,1,0,1
East Haddam,2010,Pedestrian/vehicle,3,0,3
East Haddam,2010,Vehicle/vehicle,76,0,25
East Haddam,2011,Cyclist/vehicle,1,0,1
East Haddam,2011,Vehicle/vehicle,78,2,22
East Haddam,2012,Cyclist/vehicle,1,0,1
East Haddam,2012,Pedestrian/vehicle,1,0,1
East Haddam,2012,Vehicle/vehicle,94,0,25
East Haddam,2013,Cyclist/vehicle,1,0,1
East Haddam,2013,Vehicle/vehicle,103,0,27
East Haddam,2014,Cyclist/vehicle,1,0,1
East Haddam,2014,Pedestrian/vehicle,1,0,0
East Haddam,2014,Vehicle/vehicle,89,1,22
East Hampton,2010,Pedestrian/vehicle,3,0,2
East Hampton,2010,Vehicle/vehicle,181,1,60
East Hampton,2011,Cyclist/vehicle,1,0,1
East Hampton,2011,Pedestrian/vehicle,1,1,1
East Hampton,2011,Vehicle/vehicle,186,1,65
East Hampton,2012,Cyclist/vehicle,2,0,2
East Hampton,2012,Vehicle/vehicle,190,1,60
East Hampton,2013,Pedestrian/vehicle,4,0,4
East Hampton,2013,Vehicle/vehicle,174,3,58
East Hampton,2014,Pedestrian/vehicle,5,1,5
East Hampton,2014,Vehicle/vehicle,151,0,51
East Hartford,2010,Cyclist/vehicle,10,1,10
East Hartford,2010,Pedestrian/vehicle,20,0,19
East Hartford,2010,Vehicle/vehicle,1543,2,394
East Hartford,2011,Cyclist/vehicle,20,2,17
East Hartford,2011,Pedestrian/vehicle,25,1,25
East Hartford,2011,Vehicle/vehicle,1407,3,406
East Hartford,2012,Cyclist/vehicle,17,1,15
East Hartford,2012,Pedestrian/vehicle,22,1,17
East Hartford,2012,Vehicle/vehicle,1583,3,374
East Hartford,2013,Cyclist/vehicle,13,0,11
East Hartford,2013,Pedestrian/vehicle,22,2,18
East Hartford,2013,Vehicle/vehicle,1659,6,451
East Hartford,2014,Cyclist/vehicle,12,0,8
East Hartford,2014,Pedestrian/vehicle,21,4,19
East Hartford,2014,Vehicle/vehicle,1682,3,400
East Haven,2010,Cyclist/vehicle,4,0,3
East Haven,2010,Pedestrian/vehicle,9,0,8
East Haven,2010,Vehicle/vehicle,652,0,151
East Haven,2011,Cyclist/vehicle,7,0,6
East Haven,2011,Pedestrian/vehicle,12,1,11
East Haven,2011,Vehicle/vehicle,547,1,170
East Haven,2012,Cyclist/vehicle,4,1,4
East Haven,2012,Pedestrian/vehicle,7,0,7
East Haven,2012,Vehicle/vehicle,610,1,164
East Haven,2013,Cyclist/vehicle,7,0,5
East Haven,2013,Pedestrian/vehicle,4,0,4
East Haven,2013,Vehicle/vehicle,687,2,184
East Haven,2014,Cyclist/vehicle,2,0,1
East Haven,2014,Pedestrian/vehicle,5,0,4
East Haven,2014,Vehicle/vehicle,618,2,176
East Lyme,2010,Cyclist/vehicle,1,0,1
East Lyme,2010,Pedestrian/vehicle,2,0,2
East Lyme,2010,Vehicle/vehicle,416,0,72
East Lyme,2011,Cyclist/vehicle,3,0,3
East Lyme,2011,Pedestrian/vehicle,8,0,7
East Lyme,2011,Vehicle/vehicle,429,1,68
East Lyme,2012,Cyclist/vehicle,2,0,2
East Lyme,2012,Pedestrian/vehicle,3,0,3
East Lyme,2012,Vehicle/vehicle,421,3,90
East Lyme,2013,Cyclist/vehicle,1,0,1
East Lyme,2013,Pedestrian/vehicle,2,0,2
East Lyme,2013,Vehicle/vehicle,361,1,72
East Lyme,2014,Cyclist/vehicle,1,0,1
East Lyme,2014,Pedestrian/vehicle,2,1,2
East Lyme,2014,Vehicle/vehicle,362,1,71
East Windsor,2010,Cyclist/vehicle,6,0,6
East Windsor,2010,Pedestrian/vehicle,9,1,9
East Windsor,2010,Vehicle/vehicle,315,3,94
East Windsor,2011,Cyclist/vehicle,1,0,1
East Windsor,2011,Pedestrian/vehicle,1,0,1
East Windsor,2011,Vehicle/vehicle,338,0,108
East Windsor,2012,Cyclist/vehicle,2,1,2
East Windsor,2012,Pedestrian/vehicle,2,0,2
East Windsor,2012,Vehicle/vehicle,301,1,78
East Windsor,2013,Cyclist/vehicle,1,0,1
East Windsor,2013,Pedestrian/vehicle,1,0,1
East Windsor,2013,Vehicle/vehicle,306,3,66
East Windsor,2014,Cyclist/vehicle,1,0,1
East Windsor,2014,Pedestrian/vehicle,1,0,1
East Windsor,2014,Vehicle/vehicle,345,0,96
Eastford,2010,Vehicle/vehicle,30,1,6
Eastford,2011,Vehicle/vehicle,29,2,8
Eastford,2012,Vehicle/vehicle,24,0,4
Eastford,2013,Vehicle/vehicle,27,0,5
Eastford,2014,Vehicle/vehicle,29,0,9
Easton,2010,Cyclist/vehicle,2,0,2
Easton,2010,Pedestrian/vehicle,1,0,0
Easton,2010,Vehicle/vehicle,146,0,35
Easton,2011,Pedestrian/vehicle,1,1,1
Easton,2011,Vehicle/vehicle,86,0,27
Easton,2012,Cyclist/vehicle,1,0,1
Easton,2012,Vehicle/vehicle,87,0,15
Easton,2013,Cyclist/vehicle,1,0,1
Easton,2013,Vehicle/vehicle,141,0,38
Easton,2014,Vehicle/vehicle,155,0,34
Ellington,2010,Cyclist/vehicle,3,1,3
Ellington,2010,Pedestrian/vehicle,1,0,0
Ellington,2010,Vehicle/vehicle,159,0,45
Ellington,2011,Cyclist/vehicle,1,0,1
Ellington,2011,Pedestrian/vehicle,3,0,3
Ellington,2011,Vehicle/vehicle,153,3,52
Ellington,2012,Cyclist/vehicle,1,0,1
Ellington,2012,Pedestrian/vehicle,3,0,3
Ellington,2012,Vehicle/vehicle,152,1,45
Ellington,2013,Cyclist/vehicle,2,0,1
Ellington,2013,Vehicle/vehicle,190,0,48
Ellington,2014,Cyclist/vehicle,2,0,1
Ellington,2014,Pedestrian/vehicle,1,1,1
Ellington,2014,Vehicle/vehicle,187,1,62
Enfield,2010,Cyclist/vehicle,10,0,7
Enfield,2010,Pedestrian/vehicle,12,0,12
Enfield,2010,Vehicle/vehicle,947,6,270
