town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Bristol,2019,Pedestrian/vehicle,19,1,19
Bristol,2019,Vehicle/vehicle,1602,2,342
Bristol,2020,Cyclist/vehicle,6,0,6
Bristol,2020,Pedestrian/vehicle,20,1,19
Bristol,2020,Vehicle/vehicle,1298,1,316
Bristol,2021,Cyclist/vehicle,9,0,8
Bristol,2021,Pedestrian/vehicle,16,1,16
Bristol,2021,Vehicle/vehicle,1408,2,356
Bristol,2022,Cyclist/vehicle,10,0,7
Bristol,2022,Pedestrian/vehicle,17,3,17
Bristol,2022,Vehicle/vehicle,1424,4,366
Bristol,2023,Cyclist/vehicle,4,0,4
Bristol,2023,Pedestrian/vehicle,16,0,13
Bristol,2023,Vehicle/vehicle,1390,4,341
Bristol,2024,Cyclist/vehicle,3,0,2
Bristol,2024,Pedestrian/vehicle,25,4,24
Bristol,2024,Vehicle/vehicle,1409,3,312
Bristol,2025,Cyclist/vehicle,7,0,7
Bristol,2025,Pedestrian/vehicle,23,0,23
Bristol,2025,Vehicle/vehicle,1327,6,297
Brookfield,2015,Pedestrian/vehicle,3,0,3
Brookfield,2015,Vehicle/vehicle,447,1,111
Brookfield,2016,Pedestrian/vehicle,7,0,7
Brookfield,2016,Vehicle/vehicle,417,1,106
Brookfield,2017,Pedestrian/vehicle,3,1,3
Brookfield,2017,Vehicle/vehicle,434,1,108
Brookfield,2018,Cyclist/vehicle,1,0,1
Brookfield,2018,Pedestrian/vehicle,5,1,4
Brookfield,2018,Vehicle/vehicle,440,0,103
Brookfield,2019,Cyclist/vehicle,2,0,2
Brookfield,2019,Pedestrian/vehicle,4,1,4
Brookfield,2019,Vehicle/vehicle,435,1,97
Brookfield,2020,Cyclist/vehicle,1,0,1
Brookfield,2020,Vehicle/vehicle,329,1,83
Brookfield,2021,Pedestrian/vehicle,2,0,2
Brookfield,2021,Vehicle/vehicle,390,0,90
Brookfield,2022,Pedestrian/vehicle,4,0,1
Brookfield,2022,Vehicle/vehicle,415,0,99
Brookfield,2023,Cyclist/vehicle,1,0,1
Brookfield,2023,Vehicle/vehicle,413,0,86
Brookfield,2024,Vehicle/vehicle,289,1,74
Brookfield,2025,Pedestrian/vehicle,2,0,2
Brookfield,2025,Vehicle/vehicle,295,0,68
Brooklyn,2015,Cyclist/vehicle,1,0,1
Brooklyn,2015,Pedestrian/vehicle,3,1,3
Brooklyn,2015,Vehicle/vehicle,125,2,37
Brooklyn,2016,Cyclist/vehicle,2,0,2
Brooklyn,2016,Pedestrian/vehicle,1,1,1
Brooklyn,2016,Vehicle/vehicle,119,2,40
Brooklyn,2017,Pedestrian/vehicle,1,0,1
Brooklyn,2017,Vehicle/vehicle,126,0,36
Brooklyn,2018,Vehicle/vehicle,125,3,37
Brooklyn,2019,Pedestrian/vehicle,2,1,2
Brooklyn,2019,Vehicle/vehicle,116,3,37
Brooklyn,2020,Pedestrian/vehicle,1,0,1
Brooklyn,2020,Vehicle/vehicle,86,0,20
Brooklyn,2021,Vehicle/vehicle,108,1,33
Brooklyn,2022,Pedestrian/vehicle,2,0,2
Brooklyn,2022,Vehicle/vehicle,105,4,34
Brooklyn,2023,Cyclist/vehicle,1,0,1
Brooklyn,2023,Vehicle/vehicle,103,2,35
Brooklyn,2024,Cyclist/vehicle,2,0,2
Brooklyn,2024,Pedestrian/vehicle,1,0,1
Brooklyn,2024,Vehicle/vehicle,127,1,37
Brooklyn,2025,Cyclist/vehicle,1,0,0
Brooklyn,2025,Vehicle/vehicle,117,1,27
Burlington,2015,Cyclist/vehicle,1,0,1
Burlington,2015,Vehicle/vehicle,116,1,28
Burlington,2016,Cyclist/vehicle,1,0,1
Burlington,2016,Pedestrian/vehicle,1,0,0
Burlington,2016,Vehicle/vehicle,124,0,30
Burlington,2017,Cyclist/vehicle,1,0,1
Burlington,2017,Vehicle/vehicle,113,0,33
Burlington,2018,Vehicle/vehicle,108,1,34
Burlington,2019,Vehicle/vehicle,108,1,32
Burlington,2020,Cyclist/vehicle,1,0,1
Burlington,2020,Vehicle/vehicle,76,1,25
Burlington,2021,Pedestrian/vehicle,1,0,1
Burlington,2021,Vehicle/vehicle,108,0,36
Burlington,2022,Vehicle/vehicle,108,1,32
Burlington,2023,Vehicle/vehicle,115,2,46
Burlington,2024,Vehicle/vehicle,121,2,42
Burlington,2025,Vehicle/vehicle,117,0,26
Canaan,2015,Vehicle/vehicle,28,1,10
Canaan,2016,Vehicle/vehicle,31,1,7
Canaan,2017,Pedestrian/vehicle,1,0,1
Canaan,2017,Vehicle/vehicle,29,0,9
Canaan,2018,Vehicle/vehicle,33,1,7
Canaan,2019,Vehicle/vehicle,36,0,8
Canaan,2020,Vehicle/vehicle,27,0,7
Canaan,2021,Vehicle/vehicle,24,0,8
Canaan,2022,Vehicle/vehicle,35,0,12
Canaan,2023,Vehicle/vehicle,37,2,9
Canaan,2024,Vehicle/vehicle,37,0,12
Canaan,2025,Pedestrian/vehicle,1,0,1
Canaan,2025,Vehicle/vehicle,33,0,9
Canterbury,2015,Pedestrian/vehicle,1,1,1
Canterbury,2015,Vehicle/vehicle,50,0,14
Canterbury,2016,Pedestrian/vehicle,1,0,0
Canterbury,2016,Vehicle/vehicle,60,0,21
Canterbury,2017,Vehicle/vehicle,54,0,16
Canterbury,2018,Vehicle/vehicle,68,1,22
Canterbury,2019,Vehicle/vehicle,73,3,16
Canterbury,2020,Vehicle/vehicle,37,1,12
Canterbury,2021,Vehicle/vehicle,47,1,14
Canterbury,2022,Pedestrian/vehicle,1,0,1
Canterbury,2022,Vehicle/vehicle,49,1,19
Canterbury,2023,Vehicle/vehicle,42,1,14
Canterbury,2024,Vehicle/vehicle,65,1,23
Canterbury,2025,Pedestrian/vehicle,1,0,1
Canterbury,2025,Vehicle/vehicle,71,0,20
Canton,2015,Cyclist/vehicle,2,0,2
Canton,2015,Pedestrian/vehicle,3,0,3
Canton,2015,Vehicle/vehicle,244,0,59
Canton,2016,Cyclist/vehicle,2,0,2
Canton,2016,Vehicle/vehicle,287,0,64
Canton,2017,Pedestrian/vehicle,2,0,2
Canton,2017,Vehicle/vehicle,275,4,71
Canton,2018,Cyclist/vehicle,1,0,1
Canton,2018,Pedestrian/vehicle,3,1,3
Canton,2018,Vehicle/vehicle,265,0,55
Canton,2019,Vehicle/vehicle,216,2,38
Canton,2020,Pedestrian/vehicle,1,0,1
Canton,2020,Vehicle/vehicle,183,0,46
Canton,2021,Cyclist/vehicle,1,0,1
Canton,2021,Pedestrian/vehicle,1,0,1
Canton,2021,Vehicle/vehicle,201,1,45
Canton,2022,Vehicle/vehicle,221,0,45
Canton,2023,Pedestrian/vehicle,3,0,3
Canton,2023,Vehicle/vehicle,216,0,48
Canton,2024,Cyclist/vehicle,1,0,0
Canton,2024,Pedestrian/vehicle,1,0,1
Canton,2024,Vehicle/vehicle,196,0,37
Canton,2025,Cyclist/vehicle,2,0,1
Canton,2025,Pedestrian/vehicle,1,0,0
Canton,2025,Vehicle/vehicle,234,0,38
Chaplin,2015,Vehicle/vehicle,45,0,15
Chaplin,2016,Vehicle/vehicle,46,0,24
Chaplin,2017,Vehicle/vehicle,46,2,13
Chaplin,2018,Vehicle/vehicle,48,1,20
Chaplin,2019,Vehicle/vehicle,49,0,14
Chaplin,2020,Cyclist/vehicle,1,0,0
Chaplin,2020,Vehicle/vehicle,35,1,9
Chaplin,2021,Pedestrian/vehicle,1,0,1
Chaplin,2021,Vehicle/vehicle,32,0,11
Chaplin,2022,Pedestrian/vehicle,1,0,1
Chaplin,2022,Vehicle/vehicle,38,3,14
Chaplin,2023,Pedestrian/vehicle,1,0,1
Chaplin,2023,Vehicle/vehicle,34,1,13
Chaplin,2024,Vehicle/vehicle,26,1,8
Chaplin,2025,Pedestrian/vehicle,1,0,1
Chaplin,2025,Vehicle/vehicle,37,1,7
Cheshire,2015,Cyclist/vehicle,7,0,6
Cheshire,2015,Pedestrian/vehicle,3,1,2
Cheshire,2015,Vehicle/vehicle,715,3,167
Cheshire,2016,Cyclist/vehicle,6,0,5
Cheshire,2016,Pedestrian/vehicle,2,0,2
Cheshire,2016,Vehicle/vehicle,694,0,162
Cheshire,2017,Cyclist/vehicle,5,0,4
Cheshire,2017,Pedestrian/vehicle,9,0,6
Cheshire,2017,Vehicle/vehicle,725,3,164
Cheshire,2018,Cyclist/vehicle,6,0,5
